ordering	k	shard	facts	wall_ms	import_ms	reasoning_ms	export_ms	trace_ms	inferences	conclusions
baseline	1	0	997	602	13	15	0	574	3748	997
loc	2	0	509	321	14	15	0	292	2020	509
loc	2	1	488	312	13	15	0	284	1734	488
loc	4	0	255	177	14	15	0	148	1010	255
loc	4	1	254	181	14	15	0	152	1020	254
loc	4	2	241	172	14	15	0	143	858	241
loc	4	3	247	177	13	15	0	149	878	247
loc	8	0	128	104	14	15	0	75	510	128
loc	8	1	127	104	13	15	0	76	506	127
loc	8	2	127	106	13	15	0	78	498	127
loc	8	3	127	108	14	15	0	79	528	127
loc	8	4	126	110	14	15	0	81	545	126
loc	8	5	115	98	14	15	0	69	372	115
loc	8	6	122	103	14	15	0	74	486	122
loc	8	7	125	110	14	15	0	81	421	125
rnd	2	0	500	325	14	15	0	296	2138	500
rnd	2	1	497	324	14	15	0	295	2110	497
rnd	4	0	250	182	14	15	0	153	1212	250
rnd	4	1	250	183	13	15	0	155	1189	250
rnd	4	2	250	184	14	15	0	155	1180	250
rnd	4	3	247	179	14	15	0	150	1176	247
rnd	8	0	125	110	14	15	0	81	689	125
rnd	8	1	125	110	14	15	0	81	679	125
rnd	8	2	125	114	13	15	0	86	658	125
rnd	8	3	125	113	14	15	0	84	668	125
rnd	8	4	124	113	13	15	0	85	653	124
rnd	8	5	126	110	14	15	0	81	655	126
rnd	8	6	123	109	13	15	0	81	666	123
rnd	8	7	124	111	14	15	0	82	647	124
